,state_abrv,2005_copper_mg/L_x_population_served,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,fips
10,HI,2.1025,7.971940850294431,8.41,71506.90709190568,488.016129225891,7.125129162413234,67.1974583165418,52.74140624577999,54.89633080296182,5.472058624893234,881.4551203238751,9.18791913050573,23.96880737665074,7.8289610263744915,7.051264706445421,6.763335076355776,15
12,ID,4.523065562499999,3.1672134444444437,3.668456174744897,4.238708910156251,4.015515015625,5.483090560000001,3.1734877551020415,20.040544444444443,3.243601,3.97005625,3.457120444444443,7.162760111111112,3.357689759999999,7.8289610263744915,2.7381975625,2.2952250000000003,16
13,IL,174.7358126819903,3.80874256,4.8772585265348605,4.62081754442344,3.7025631327479336,4.669807263850415,5.235415069420417,3.461925390625,5.434126105601467,3.6278820900000004,4.028374466033602,4.8652889476,45.377135724762326,3.8071814400000004,3.5906389918552812,63.7790481747449,17
14,IN,4.41183769140625,5.967551020408164,4.15303641,2388.472384,3.48009025,5.183211111111112,5.446707305785123,9.00200011111111,3.45402225,2.873401679012346,19.8002750625,4.613156899810964,3.4283608402777777,4.72337777777778,4.625367111111112,3.3124000000000002,18
11,IA,3.8789302500000002,3.7267383219954646,2.7390250000000003,2.8985062499999996,4.217155612244897,4.413819008264463,5.12816611570248,5.3998140625,7.840000000000002,6.5536,5.158576562499999,4.491139053254438,3.0241209999999996,3.1061125069444446,4.504298777777777,5.278506250000001,19
15,KS,3.222025,2.6522448979591835,2.4544444444444444,150258761.66031498,3.6720140625,3.2310062500000005,3.4358329600000004,3.152844140625,3.299412755102041,3.582908163265306,3.0394752582644635,3.091736111111111,3045.8572576530605,2.4518340277777773,3.3614327562326873,2.829604591836735,20
16,KY,58.80384812314469,7.971940850294431,7.398400000000001,8.468100000000002,7.471111111111109,8.865506250000001,8.411933444444442,16.483599999999996,12.6025,13.395600000000002,31724.359511111114,6.969600000000001,3.7765444444444447,3.7158987777777783,1.9043999999999996,3.0625,21
17,LA,7.246864000000001,3.3611111111111107,5.583593964334704,5.289999999999999,11.68988662131519,6.037551020408164,5.3724617346938786,3.6576562499999996,9.356801234567904,4.839999999999999,4.470204081632653,5.3824,5.716446280991736,5.224489795918367,4.053511111111111,3.61,22
20,ME,4.933524408284024,4.440745710059171,7.179050390624999,4.422759215561225,5.9049000000000005,5.798463999999999,5.4568959999999995,3.19515625,7.202514062499999,8.183175390625001,4.966955111111112,4.814889795918368,3.1716371900826448,4.217618836565096,6.4952163265306115,4.928400000000001,23
19,MD,9.624416213294374,9.781730119375576,7.374109969726564,8.0143345216,24.287483787777784,7.809083171745153,11.69785095408632,7.81537936,7.708788927335642,9.87123305898491,28563.253377777775,7.7145062499999995,6.680501777777775,11.372351085069447,6.739792901234567,11.133344444444447,24
18,MA,6.670023630401235,7.087131361111109,8.486795570637119,5.364370679012344,10.107857653061224,9.450034917355369,5.46390625,4.072086591695502,4.017519140625,6.94487197265625,5.202960999999998,6.8955842253086415,5.140989390624999,3.935760015625,9.533538413265305,9.874449223140497,25
21,MI,4.039206716049383,2.94088201,407.5495760204082,15934.74504241,3.3961224489795914,23.852235015625,4.7993855624999995,3.2373005625,4.414201,3.9385237551020404,3.0730089999999994,31.381111244082838,5.6972916100000015,7.2007250069444435,2.9929,2.7093160000000003,26
