,state_abrv,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,State
10,HI,-0.9999921847065373,-0.5292138025683759,-0.7943243813020294,-0.07359375000000012,-0.1479289940828401,3.263010380622835,-0.9417463039170858,11.60179842873658,-0.9983833793122617,-1.0,0.0,3.969848170101238,-1.0,0.0,8.366427387316872,Hawaii
11,IA,1.099075359211156,-0.6690568945725992,0.08289874025171806,1.6158967072363501,0.28207170318813723,-0.6074491332884162,-0.08579594944257463,-0.41041262412737967,0.21517681132423183,-0.26810429008790737,-0.19189253343287183,0.3841801819719337,-0.42454488647482436,-0.3945830433323987,0.17040057750028503,Iowa
12,ID,1.4892547551814164,-0.31629263768119076,-0.40702693710045745,-0.37758893173884034,1.1923649954881532,-0.1351815770236996,-0.8662889351433992,4.940681754527696,0.5744834893290482,-0.8076331178824253,1.658317580340265,1.5003515624999997,-0.641282278589608,0.4436112838487194,-0.6605734483498615,Idaho
13,IL,0.08229429801530319,0.40973701472000346,-0.4817960267923226,0.1832231337838186,-0.1501306721787532,-0.35827048212923607,0.11712805325463349,0.24144381471595566,-0.1635508895022071,0.2007598694886763,-0.1992280658742337,0.14094973456691862,-0.29830053940873735,4.182393671138845,-0.23879698750681422,Illinois
14,IN,-0.5186998992030858,0.32035789457303676,0.42381625632292574,0.4124895460629927,-0.6975418002279513,0.29077741666701895,-0.12138976722487393,0.4100181603073674,0.48827024425704724,-0.6168053543794508,0.24956661072384345,-0.016504239611542237,-0.3064718382929271,0.056348362296947174,0.22608790162992376,Indiana
15,KS,-0.5425804146990919,3.6677335771985984,-0.6727639979338844,-0.08416986915468694,-0.08955842178481321,0.37080905772883765,-0.06999414698615136,0.37767034965682655,-0.6767235026651808,0.4272370780016139,-0.10298594122485727,1.2045797868545067,-0.701301014421948,0.8026341711593257,0.010227284734341868,Kansas
16,KY,0.40623289013873976,-0.7059617125727868,0.6410722157433622,0.5137190037317203,-0.38094942876372984,0.6717702993038046,-0.36099697179004875,-0.6519264935483343,1.4054553891167498,-0.19613096110208716,-0.5849612871025505,1.741010155712504,-0.4213683840054543,-0.604846052323833,2.0104503288918867,Kentucky
17,LA,0.23026983401271606,0.8450082351327788,-0.4971378194138911,0.06006471345442699,-0.34934716071807015,0.4402469876930408,-0.12804012243121132,-0.33765196097135264,-0.01173010380622852,0.28237948349363906,-0.2016336011687363,0.32437012790919484,-0.5618310413217723,-0.10840624426078982,-0.1634443783462225,Louisiana
18,MA,-0.2906735178282074,-0.34368415904408645,-0.16423031204964655,-0.315844638520265,0.32798597213452974,-0.43287067853537875,0.2810401953064354,-0.1422927795611708,-0.26535453720201785,0.31468580866461826,-0.09471454173860605,0.32367397618726623,-0.19644521879890964,0.24720792151495874,-0.24387558325541947,Massachusetts
19,MD,0.26130177514792896,1.0499963220116348,1.876636921473796,-0.8892305062458908,1.9887963228957202,-0.9522632582444742,-0.31708140432098775,-0.982914911807907,664.4936565188575,-0.8876064371780812,8.796497616620332,-0.6592468554300035,-0.1731559827300806,15.203420763760302,0.07415515225698122,Maryland
