,state_abrv,2005_lead_mg/L_x_population_served,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,fips
31,NM,1.0133953407908428e-05,4.61960427850835e-05,1.644140304e-05,7.855286110469443e-06,3.2404905390940446e-05,1.2719565602499997e-05,1.1272689279335694e-05,1.1746198347107438e-05,1.0427028099173555e-05,6.55018711111111e-06,6.9358489599999995e-06,7.358560444444444e-06,3.4121016601562505e-06,4.6839780625e-06,1.3456e-06,2.1170250000000003e-06,35
33,NY,3.9246976548696844e-05,2.970502320173182e-05,5.5890576e-05,2.7034014719735006e-05,2.837207633836792e-05,2.1696800561711297e-05,1.4582438311551764e-05,1.6428123512783052e-05,2.9065198672373136e-05,2.298458508472057e-05,1.8811040058000753e-05,2.5567272894628096e-05,1.850392295899167e-05,1.656262315516651e-05,1.8650480891043098e-05,1.840886697530864e-05,36
26,NC,1.8135521413455108e-05,8.24618560434586e-05,1.8877526753864444e-05,2.8385836867374677e-06,2.4293203102556735e-05,1.0542117685505575e-05,3.079470992944426e-06,5.179957711390533e-05,5.410470047600263e-05,1.4197377177877064e-06,6.089613795918368e-06,8.573388203017834e-07,9.209144132653061e-07,7.302479338842977e-07,4.2539062500000005e-06,2.861095364152893e-06,37
27,ND,2.967252326530613e-06,1.6871967002499998e-05,1.2708630840277776e-05,4.6937222500000005e-06,6.2786040816326525e-06,1.094406694214876e-05,1.3960055678670359e-05,6.8644000000000016e-06,1.0076089795918366e-05,1.1289599999999998e-05,9.404444444444445e-06,1.0218677777777778e-05,1.928806694214876e-05,8.673025000000002e-06,1.2749362890625e-05,7.35313611111111e-06,38
34,OH,2.076088659800536,2.0928444444444445e-06,4.845177854671279e-06,7.88630718677453e-06,2.789550687299713e-06,7.637950415512465e-06,7.383864572100775e-06,3.7687915980364318e-06,6.799167682080504e-06,2.807796716392318e-06,1.3570654156502156e-06,3.2789567692955138e-06,1.1909524792899406e-06,2.1325361793228178e-06,2.3205444444444445e-06,3.4156515775034296e-06,39
35,OK,7.022635898093359e-06,1.70724376331361e-06,3.8314930564e-06,5.734919668639055e-06,2.8164737024221453e-06,3.601635802862812e-06,3.5540467141683093e-06,8.042896e-06,3.2473089717221225e-06,4.796551836734694e-07,1.3257219599999997e-06,3.5370390889504465e-06,1.1887921642731166e-06,7.402092921006945e-07,5.847996700831027e-06,7.380371900826446e-07,40
36,OR,3.622473990349659e-05,0.00023387147959183678,0.00012110002066115702,2.3622840111111105e-05,6.104817777777779e-05,3.2824411659807956e-05,1.7889582506728177e-05,2.6038567839999993e-05,4.647642557936981e-05,2.2202124529300566e-05,3.355958462307886e-05,2.896204203171191e-05,2.528998863430049e-05,2.0373071042899407e-05,3.4975396e-05,4.685128704e-05,41
37,PA,1.5489846938775507e-05,1.2665224913494807e-05,1.2208395513900804e-05,9.050069444444444e-06,6.008381439999999e-06,1.0624443398984535e-05,3.301024793388429e-05,1.0148775510204082e-05,5.856112763166006e-06,1.1998526234567904e-05,2.0360149382716048e-05,7.092355311488893e-06,1.9665193388429754e-05,5.03842155612245e-06,4.620288835918367e-06,2.356355636094674e-05,42
38,RI,5.0765625e-05,8.064039999999997e-05,0.00023104,5.822863905325444e-05,0.0001062961,4.64001384083045e-05,3.2918906249999996e-05,3.39629938271605e-05,5.3696327160493814e-05,3.631372400756144e-05,4.87204e-05,3.46813917355372e-05,2.7357448015122863e-05,2.3814399999999997e-05,2.278471111111111e-05,3.249e-05,44
39,SC,1.026245385393827e-05,4.785905423156314e-06,2.038176124567474e-06,2.4047469019113632e-06,9.285950413223141e-07,3.255709342560554e-07,2.8193918467364667e-06,4.7238347190728144e-07,2.1271947312210754e-06,7.659475573921028e-06,3.04223364e-06,5.3931130177514785e-06,2.5030570637119113e-06,2.175903310786757e-06,7.4563225e-05,1.5255534027777781e-05,45
40,SD,6.566406250000001e-06,1.0089965397923875e-05,5.444444444444446e-06,1.1703601108033242e-05,9e-06,7.248520710059173e-06,1.5433673469387757e-05,7.471111111111111e-06,8.077562326869804e-06,1.495111111111111e-05,7.0069204152249125e-06,8.10059171597633e-06,9.817777777777778e-06,6.119113573407202e-06,9.946745562130177e-06,6.612244897959185e-06,46
41,TN,1.3690000000000001e-05,1.220516929651545e-05,4.731474489795918e-05,1.896517108804306e-05,1.291666279576136e-05,5.298935809218589e-06,6.273277447268794e-06,5.990839002267575e-06,7.399870343316288e-06,6.3001e-06,3.965321001147406e-06,3.7157744132269632e-06,2.252791563007031e-06,3.0603264727441075e-06,5.162993827160494e-06,1.1736111111111115e-06,47
42,TX,1.3586047026822091e-05,2.0082846373456792e-05,7.1271983433160235e-06,9.882144586351468e-06,1.1397376000000001e-05,7.928523484554369e-06,6.656187417427655e-06,7.11772061267355e-06,1.2259940287303766e-05,8.10267579716534e-06,8.83370908382308e-06,7.1231519637263114e-06,4.501180747399136e-06,5.994303596768307e-06,3.2028756870099428e-06,4.599601354684312e-06,48
43,UT,1.7615173958412105e-05,2.56e-06,7.344099999999999e-06,1.4239336245515784e-05,0.00010695038282851238,1.0733315508506616e-05,9.103784668273796e-06,1.1074395460459184e-05,1.487464912111111e-05,1.3949706254822531e-05,1.495755625e-05,8.316266392539063e-06,2.0313048999999997e-05,5.965958907226561e-06,8.640214876951332e-06,5.894490306122448e-06,49
45,VT,3.5999999999999994e-05,3.1597435436504056e-05,0.000225,2.5e-05,3.6e-05,1.6e-05,1.3022684310018905e-05,6.25e-06,9e-06,1.690123456790123e-05,9.776044444444443e-06,1.2721111111111115e-05,6.466122448979591e-06,6.178775510204081e-06,2.4544444444444446e-06,2.3039999999999996e-05,50
44,VA,3.9062499999999994e-05,1.9578658382716046e-05,1.1563138674556212e-05,0.00014156481809724845,9.000791256249998e-05,1.0877311390532547e-05,8.372884790039062e-06,9.377796681369462e-06,2.6984176989026057e-05,6.7929462951660165e-06,4.458830077714766e-06,2.9470937216971226e-06,1.3671759504597484e-05,7.4088652366863915e-06,5.059500444444444e-06,1.7363130177514793e-06,51
46,WA,1.4151927437641723e-05,1.4528967785461291e-05,1.6793604000000002e-05,1.9182182342573305e-05,1.2577512398333666e-05,1.5433673469387757e-05,1.3500913872452335e-05,8.4681e-06,1.0550756278124548e-05,9.441652892561985e-06,8.806929065743946e-06,6.718463999999998e-06,7.161277524300733e-06,5.092768990866562e-06,1.5782561983471073e-05,1.1560000000000001e-05,53
48,WV,4.2581973316e-06,0.0,0.0,2.825832532367587e-06,2.50430625e-06,3.6150684444444448e-06,5.481921599999999e-05,1.1709070096021948e-05,0.0002160972726927701,4.853160582538342e-06,2.488599044982699e-06,0.00011017534597530863,4.79125194005102e-06,5.008963719387756e-06,4.12577344e-06,2.2332665224913496e-06,54
47,WI,4.062579144812308e-05,0.00013377025309917358,8.957833767361112e-05,3.848398932193078e-05,0.00011604891075999997,0.00010208724991349479,6.700633353524035e-05,7.396e-05,2.824701046006944e-05,3.28694993504137e-05,8.776343890306121e-05,6.911612970679014e-05,3.091099888512705e-05,6.781745069393719e-05,6.019690844444444e-05,2.6915821059585147e-05,55
49,WY,2.25625e-05,2.234710743801653e-05,2.1390624999999996e-05,7.980444444444443e-05,5.6062656250000007e-05,1.4877551020408163e-05,1.193388429752066e-05,1.181640625e-05,5.10204081632653e-05,9.61e-06,9.164380165289257e-06,1.7015625000000002e-05,6.840236686390534e-06,4e-06,7.36734693877551e-06,4e-06,56
