,state_abrv,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,State
16,KY,-0.8644316468269235,-0.07194494553647457,0.14458531574394473,-0.11773466171737368,0.18663825475907236,-0.051161523410528265,0.9595495029607477,-0.23545220704215086,0.0629319579448524,2367.267155716139,-0.9997803076214176,-0.4581404320987654,-0.016058507336218497,-0.4874994950376744,0.6081180424280617,Kentucky
17,LA,-0.536197849012882,0.6612345679012346,-0.05258153909651042,1.2098084350312273,-0.48352356049378875,-0.11015878515413724,-0.3191843086792293,1.5581412235138021,-0.4827292064173564,-0.07640411536515401,0.20406135865595298,0.06206270083823884,-0.08605984573129244,-0.2241326388888889,-0.1094140607868076,Louisiana
18,MA,0.06253467061327078,0.19749375850521456,-0.3679156479776463,0.8842578669306689,-0.06508033237949584,-0.4218109988180767,-0.25472978389856116,-0.01340036608793771,0.7286468911697197,-0.25081973858043805,0.3253192221330592,-0.25445194741350685,-0.2344352970651583,1.4222865152898239,0.035759105916103096,Massachusetts
19,MD,0.0163452933242747,-0.2461343872982159,0.08682058641677348,2.0305053678903553,-0.6784729435136081,0.4979800697233596,-0.3318961413788647,-0.01363854878368409,0.2805167130703452,2892.5851485928774,-0.9997299150013492,-0.13403378501666574,0.7023198950262661,-0.4073527232127824,0.6518822770362998,Maryland
20,ME,-0.09988370532786128,0.6166317234429848,-0.3839353431288306,0.3351167703690374,-0.018025030059781066,-0.05890663458460721,-0.4144736769768014,1.2541977602816758,0.1361554201234858,-0.39302839374535836,-0.030615399533725052,-0.34128561098713517,0.3297923387180346,0.540019754800894,-0.2412261959822235,Maine
21,MI,-0.27191594371372474,137.58073007845977,38.09891208330459,-0.9997868731228557,6.023373089151043,-0.7987867569074327,-0.3254760384757063,0.36354376579452996,-0.10776066719616073,-0.21975613425736895,9.211851395190461,-0.8184483791639383,0.26388563195634673,-0.584361297353583,-0.09475224698453,Michigan
22,MN,0.22103961828742147,-0.2994997230785199,0.05273018601793211,-0.07883580224841258,0.09804995408631756,-0.01317290042305741,0.02092806293178784,-0.21752704524584,0.025120087857325224,0.0176719216736827,0.04902816370804475,-0.08993503941029135,-0.1251206141543777,0.3090529219792024,-0.18715515049979237,Minnesota
23,MO,-0.6206350530501232,0.2936160876978344,39.15326390668562,-0.9766186760850532,-0.39145554698216734,1.2207190342434995,-0.09253700285847022,-0.5422655406228367,4.821336472029748,-0.8472341449616381,1.4252225287853104,-0.07565124938774759,-0.6127184712399868,2.487127491461987,-0.7001791752240519,Missouri
24,MS,0.25555630643962957,1.6138426167899151,-0.4424613512273373,-0.06327034899668171,-0.064761868546936,0.026101998822574357,-0.010054602151425396,0.3086435711456419,-0.35502527374300696,0.07545319753037383,0.042036483663783875,-0.0013989746171861883,0.6449266117886325,-0.3929127134501508,0.44873474851537476,Mississippi
25,MT,-0.184280124034643,-0.027359511477454856,0.2467888559488549,-0.3888830284095032,0.27400305125538504,-0.1261981998001661,-0.13550527938840018,0.186340755886502,0.19061621427338782,-0.4122642190982444,0.1741917473971526,0.16409372275885148,1.9013569368182397,-0.6926855155201203,-0.0984220944481099,Montana
