State,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SPECSPTH11,SPECSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16
South Carolina,0.1987671744,0.1743405018,0.014046495,0.01904697804,0.6866521576,0.7138507954,0.04117292139,0.04709881965,1.115586325,1.107336702,0.1608906064,0.1395705931
South Dakota,0.4215796772,0.3852384233,0.006879887273,0.007299022803,0.8629986209,0.8359633732,0.0818160357,0.09801697777,0.9423653059,0.9803133394,0.5072899067,0.4587767713
Tennessee,0.1921993025,0.1802708976,0.02118931132,0.02227727646,0.6284442792,0.6441209853,0.02222157543,0.02343016814,1.014367734,1.020036644,0.2069219178,0.1693452022
Texas,0.2192624672,0.199840165,0.01271520887,0.01438963754,0.7008662893,0.6537972958,0.03778672996,0.03713809841,0.8377854291,0.928459214,0.1701883486,0.167839429
Utah,0.2984873497,0.2993364579,0.01451969655,0.01476049655,0.6837965374,0.6573922723,0.03694000228,0.05047437259,0.5968382667,0.7445955425,0.2892716067,0.3357334983
Vermont,0.3934569487,0.3578625691,0.000453175,0.001900722143,0.8976670479,0.7948683609,0.1058831024,0.0991247445,1.050123043,1.045442031,0.2322236693,0.2012535988
Virginia,0.220543054,0.2119129212,0.02427326887,0.02487520616,0.6805688801,0.6773602538,0.05613626668,0.05317383758,0.9376189331,0.9423870085,0.1448660875,0.1448253607
Washington,0.2872394521,0.280700506,0.01887365556,0.02310908346,0.4125312527,0.4250938846,0.07742747933,0.07948391079,0.7889937735,0.7771415315,0.194213363,0.186400736
West Virginia,0.2198205199,0.2094688826,0.01783799527,0.02099572085,0.6260723008,0.5924994782,0.02820727862,0.01727997309,1.198319402,1.187198779,0.2351388633,0.1910528048
Wisconsin,0.2050027586,0.2011114878,0.01649770907,0.02026574451,0.5491390501,0.5422329736,0.09905086621,0.1054644039,0.6173299752,0.7193028291,0.2191900444,0.2180342312
Wyoming,0.268510524,0.2447352335,0.0119092,0.0148313747,0.5346141437,0.5333485316,0.04948352426,0.06301599613,0.5446198232,0.6847121273,0.2371324362,0.2289498361
